(city(Tlaxiaco)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(Merida)), {C=0.005252407353370295}
(city(Oregon City)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Oregon City)), {C=0.004182472522128198}
(city(Seattle)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(Seattle)), {C=0.004377006127808579}
(city(Lebanon)) --> (gender(f)), {C=0.0056414745647310575}
(gender(f)) --> (city(Lebanon)), {C=0.0056414745647310575}
(city(W. Linn)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(W. Linn)), {C=0.00457153973348896}
(city(Bellflower)) --> (gender(f)), {C=0.0050578737476899135}
(gender(f)) --> (city(Bellflower)), {C=0.0050578737476899135}
(city(Mill Valley)) --> (gender(f)), {C=0.004085205719288007}
(gender(f)) --> (city(Mill Valley)), {C=0.004085205719288007}
(city(Tixapan)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Tixapan)), {C=0.004182472522128198}
(city(Metchosin)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(Metchosin)), {C=0.0046688065363291505}
(city(Grossmont)) --> (gender(f)), {C=0.003793405310767435}
(gender(f)) --> (city(Grossmont)), {C=0.003793405310767435}
(city(Imperial Beach)) --> (gender(f)), {C=0.004085205719288007}
(gender(f)) --> (city(Imperial Beach)), {C=0.004085205719288007}
(city(Langley)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(Langley)), {C=0.00457153973348896}
(city(Tacoma)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Tacoma)), {C=0.004182472522128198}
(city(Santa Monica)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(Santa Monica)), {C=0.0046688065363291505}
(city(Beaverton)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Beaverton)), {C=0.0044742729306487695}
(city(Westminster)) --> (gender(f)), {C=0.003987938916447816}
(gender(f)) --> (city(Westminster)), {C=0.003987938916447816}
(city(Hidalgo)) --> (gender(f)), {C=0.00603054177609182}
(gender(f)) --> (city(Hidalgo)), {C=0.00603054177609182}
(city(Los Angeles)) --> (gender(f)), {C=0.003793405310767435}
(gender(f)) --> (city(Los Angeles)), {C=0.003793405310767435}
(city(Coronado)) --> (gender(f)), {C=0.00612780857893201}
(gender(f)) --> (city(Coronado)), {C=0.00612780857893201}
(city(La Cruz)) --> (gender(f)), {C=0.0036961385079272444}
(gender(f)) --> (city(La Cruz)), {C=0.0036961385079272444}
(city(Shawnee)) --> (gender(f)), {C=0.006711409395973154}
(gender(f)) --> (city(Shawnee)), {C=0.006711409395973154}
(city(Yakima)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Yakima)), {C=0.004182472522128198}
(city(Ballard)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Ballard)), {C=0.004766073339169342}
(city(Port Orchard)) --> (gender(f)), {C=0.004085205719288007}
(gender(f)) --> (city(Port Orchard)), {C=0.004085205719288007}
(city(Downey)) --> (gender(f)), {C=0.0048633401420095325}
(gender(f)) --> (city(Downey)), {C=0.0048633401420095325}
(city(Salem)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(Salem)), {C=0.00457153973348896}
(city(Lemon Grove)) --> (gender(f)), {C=0.005544207761890867}
(gender(f)) --> (city(Lemon Grove)), {C=0.005544207761890867}
(city(Bremerton)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(Bremerton)), {C=0.004377006127808579}
(city(N. Vancouver)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(N. Vancouver)), {C=0.004377006127808579}
(city(Woodland Hills)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Woodland Hills)), {C=0.004279739324968388}
(city(Long Beach)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Long Beach)), {C=0.004182472522128198}
(city(Woodburn)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Woodburn)), {C=0.004279739324968388}
(city(Vancouver)) --> (gender(f)), {C=0.003987938916447816}
(gender(f)) --> (city(Vancouver)), {C=0.003987938916447816}
(city(San Jose)) --> (gender(f)), {C=0.005446940959050676}
(gender(f)) --> (city(San Jose)), {C=0.005446940959050676}
(city(Langford)) --> (gender(f)), {C=0.0050578737476899135}
(gender(f)) --> (city(Langford)), {C=0.0050578737476899135}
(city(Acapulco)) --> (gender(f)), {C=0.004960606944849723}
(gender(f)) --> (city(Acapulco)), {C=0.004960606944849723}
(city(National City)) --> (gender(f)), {C=0.005252407353370295}
(gender(f)) --> (city(National City)), {C=0.005252407353370295}
(city(Cliffside)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Cliffside)), {C=0.0044742729306487695}
(city(Newton)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(Newton)), {C=0.00457153973348896}
(city(West Covina)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(West Covina)), {C=0.0046688065363291505}
(city(Palo Alto)) --> (gender(f)), {C=0.004182472522128198}
(gender(f)) --> (city(Palo Alto)), {C=0.004182472522128198}
(city(Albany)) --> (gender(f)), {C=0.003598871705087054}
(gender(f)) --> (city(Albany)), {C=0.003598871705087054}
(city(Walla Walla)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Walla Walla)), {C=0.0044742729306487695}
(city(Spokane)) --> (gender(f)), {C=0.004377006127808579}
(gender(f)) --> (city(Spokane)), {C=0.004377006127808579}
(city(Newport Beach)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Newport Beach)), {C=0.0044742729306487695}
(city(Santa Anita)) --> (gender(f)), {C=0.003890672113607626}
(gender(f)) --> (city(Santa Anita)), {C=0.003890672113607626}
(city(Glendale)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Glendale)), {C=0.004766073339169342}
(city(Victoria)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Victoria)), {C=0.0044742729306487695}
(city(Kirkland)) --> (gender(f)), {C=0.004766073339169342}
(gender(f)) --> (city(Kirkland)), {C=0.004766073339169342}
(city(Guadalajara)) --> (gender(f)), {C=0.005738741367571248}
(gender(f)) --> (city(Guadalajara)), {C=0.005738741367571248}
(city(Port Hammond)) --> (gender(f)), {C=0.0050578737476899135}
(gender(f)) --> (city(Port Hammond)), {C=0.0050578737476899135}
(city(San Carlos)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(San Carlos)), {C=0.004279739324968388}
(city(Corvallis)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Corvallis)), {C=0.0044742729306487695}
(city(Lakewood)) --> (gender(f)), {C=0.003598871705087054}
(gender(f)) --> (city(Lakewood)), {C=0.003598871705087054}
(city(Edmonds)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(Edmonds)), {C=0.00457153973348896}
(city(Daly City)) --> (gender(f)), {C=0.003987938916447816}
(gender(f)) --> (city(Daly City)), {C=0.003987938916447816}
(city(San Diego)) --> (gender(f)), {C=0.004085205719288007}
(gender(f)) --> (city(San Diego)), {C=0.004085205719288007}
(city(Sedro Woolley)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Sedro Woolley)), {C=0.0044742729306487695}
(city(Olympia)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Olympia)), {C=0.004279739324968388}
(city(Torrance)) --> (gender(f)), {C=0.0046688065363291505}
(gender(f)) --> (city(Torrance)), {C=0.0046688065363291505}
(city(El Cajon)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(El Cajon)), {C=0.00457153973348896}
(city(Royal Oak)) --> (gender(f)), {C=0.00457153973348896}
(gender(f)) --> (city(Royal Oak)), {C=0.00457153973348896}
(city(San Gabriel)) --> (gender(f)), {C=0.003890672113607626}
(gender(f)) --> (city(San Gabriel)), {C=0.003890672113607626}
(city(Marysville)) --> (gender(f)), {C=0.0048633401420095325}
(gender(f)) --> (city(Marysville)), {C=0.0048633401420095325}
(city(Fremont)) --> (gender(f)), {C=0.003793405310767435}
(gender(f)) --> (city(Fremont)), {C=0.003793405310767435}
(city(Burlingame)) --> (gender(f)), {C=0.0044742729306487695}
(gender(f)) --> (city(Burlingame)), {C=0.0044742729306487695}
(city(Pomona)) --> (gender(f)), {C=0.0050578737476899135}
(gender(f)) --> (city(Pomona)), {C=0.0050578737476899135}
(city(Redmond)) --> (gender(f)), {C=0.003987938916447816}
(gender(f)) --> (city(Redmond)), {C=0.003987938916447816}
(city(Burien)) --> (gender(f)), {C=0.005446940959050676}
(gender(f)) --> (city(Burien)), {C=0.005446940959050676}
(city(Orizaba)) --> (gender(f)), {C=0.004960606944849723}
(gender(f)) --> (city(Orizaba)), {C=0.004960606944849723}
(city(Colma)) --> (gender(f)), {C=0.004279739324968388}
(gender(f)) --> (city(Colma)), {C=0.004279739324968388}
(city(Berkeley)) --> (gender(f)), {C=0.004085205719288007}
(gender(f)) --> (city(Berkeley)), {C=0.004085205719288007}
(city(Beverly Hills)) --> (gender(f)), {C=0.004960606944849723}
(gender(f)) --> (city(Beverly Hills)), {C=0.004960606944849723}
(city(Portland)) --> (gender(f)), {C=0.003987938916447816}
(gender(f)) --> (city(Portland)), {C=0.003987938916447816}
(city(Puyallup)) --> (gender(f)), {C=0.005155140550530104}
(gender(f)) --> (city(Puyallup)), {C=0.005155140550530104}
(city(San Francisco)) --> (gender(f)), {C=0.0018480692539636222}
(gender(f)) --> (city(San Francisco)), {C=0.0018480692539636222}
(city(Redwood City)) --> (gender(f)), {C=0.003307071296566482}
(gender(f)) --> (city(Redwood City)), {C=0.003307071296566482}
(marital status(M)) --> (gender(f)), {C=0.2504620173134909}
(gender(f)) --> (marital status(M)), {C=0.2504620173134909}
(marital status(S)) --> (gender(f)), {C=0.2453068767629608}
(gender(f)) --> (marital status(S)), {C=0.2453068767629608}
(buy(1)) --> (gender(f)), {C=0.001361735239762669}
(gender(f)) --> (buy(1)), {C=0.001361735239762669}
(buy(2)) --> (gender(f)), {C=0.0024316700710047662}
(gender(f)) --> (buy(2)), {C=0.0024316700710047662}
(buy(3)) --> (gender(f)), {C=0.0029180040852057193}
(gender(f)) --> (buy(3)), {C=0.0029180040852057193}
(buy(4)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(4)), {C=0.002723470479525338}
(buy(5)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(5)), {C=0.0022371364653243847}
(buy(6)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(6)), {C=0.0023344032681645753}
(buy(7)) --> (gender(f)), {C=0.003112537690886101}
(gender(f)) --> (buy(7)), {C=0.003112537690886101}
(buy(8)) --> (gender(f)), {C=0.00301527088804591}
(gender(f)) --> (buy(8)), {C=0.00301527088804591}
(buy(9)) --> (gender(f)), {C=0.0017508024511234317}
(gender(f)) --> (buy(9)), {C=0.0017508024511234317}
(buy(10)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(10)), {C=0.0022371364653243847}
(buy(11)) --> (gender(f)), {C=0.003598871705087054}
(gender(f)) --> (buy(11)), {C=0.003598871705087054}
(buy(12)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(12)), {C=0.002723470479525338}
(buy(13)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(13)), {C=0.0026262036766851473}
(buy(14)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(14)), {C=0.0025289368738449568}
(buy(15)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(15)), {C=0.002723470479525338}
(buy(16)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(16)), {C=0.0023344032681645753}
(buy(17)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(17)), {C=0.0025289368738449568}
(buy(18)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(18)), {C=0.0025289368738449568}
(buy(19)) --> (gender(f)), {C=0.0024316700710047662}
(gender(f)) --> (buy(19)), {C=0.0024316700710047662}
(buy(20)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(20)), {C=0.0025289368738449568}
(buy(21)) --> (gender(f)), {C=0.003598871705087054}
(gender(f)) --> (buy(21)), {C=0.003598871705087054}
(buy(22)) --> (gender(f)), {C=0.001945336056803813}
(gender(f)) --> (buy(22)), {C=0.001945336056803813}
(buy(23)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(23)), {C=0.0025289368738449568}
(buy(24)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(24)), {C=0.0025289368738449568}
(buy(25)) --> (gender(f)), {C=0.0032098044937262913}
(gender(f)) --> (buy(25)), {C=0.0032098044937262913}
(buy(26)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(26)), {C=0.0028207372823655288}
(buy(27)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(27)), {C=0.0025289368738449568}
(buy(28)) --> (gender(f)), {C=0.0029180040852057193}
(gender(f)) --> (buy(28)), {C=0.0029180040852057193}
(buy(29)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(29)), {C=0.0028207372823655288}
(buy(30)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(30)), {C=0.0026262036766851473}
(buy(31)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(31)), {C=0.0020426028596440037}
(buy(32)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(32)), {C=0.0025289368738449568}
(buy(33)) --> (gender(f)), {C=0.0017508024511234317}
(gender(f)) --> (buy(33)), {C=0.0017508024511234317}
(buy(34)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(34)), {C=0.0025289368738449568}
(buy(35)) --> (gender(f)), {C=0.002139869662484194}
(gender(f)) --> (buy(35)), {C=0.002139869662484194}
(buy(36)) --> (gender(f)), {C=0.0036961385079272444}
(gender(f)) --> (buy(36)), {C=0.0036961385079272444}
(buy(37)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(37)), {C=0.0026262036766851473}
(buy(38)) --> (gender(f)), {C=0.001945336056803813}
(gender(f)) --> (buy(38)), {C=0.001945336056803813}
(buy(39)) --> (gender(f)), {C=0.001945336056803813}
(gender(f)) --> (buy(39)), {C=0.001945336056803813}
(buy(40)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(40)), {C=0.0023344032681645753}
(buy(41)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(41)), {C=0.0025289368738449568}
(buy(42)) --> (gender(f)), {C=0.0036961385079272444}
(gender(f)) --> (buy(42)), {C=0.0036961385079272444}
(buy(43)) --> (gender(f)), {C=0.003307071296566482}
(gender(f)) --> (buy(43)), {C=0.003307071296566482}
(buy(44)) --> (gender(f)), {C=0.0034043380994066724}
(gender(f)) --> (buy(44)), {C=0.0034043380994066724}
(buy(45)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(45)), {C=0.0023344032681645753}
(buy(46)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(46)), {C=0.0026262036766851473}
(buy(47)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(47)), {C=0.0026262036766851473}
(buy(48)) --> (gender(f)), {C=0.0032098044937262913}
(gender(f)) --> (buy(48)), {C=0.0032098044937262913}
(buy(49)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(49)), {C=0.0022371364653243847}
(buy(50)) --> (gender(f)), {C=0.0032098044937262913}
(gender(f)) --> (buy(50)), {C=0.0032098044937262913}
(buy(51)) --> (gender(f)), {C=0.0015562688454430504}
(gender(f)) --> (buy(51)), {C=0.0015562688454430504}
(buy(52)) --> (gender(f)), {C=0.0018480692539636222}
(gender(f)) --> (buy(52)), {C=0.0018480692539636222}
(buy(53)) --> (gender(f)), {C=0.0029180040852057193}
(gender(f)) --> (buy(53)), {C=0.0029180040852057193}
(buy(54)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(54)), {C=0.0025289368738449568}
(buy(55)) --> (gender(f)), {C=0.002139869662484194}
(gender(f)) --> (buy(55)), {C=0.002139869662484194}
(buy(56)) --> (gender(f)), {C=0.002139869662484194}
(gender(f)) --> (buy(56)), {C=0.002139869662484194}
(buy(57)) --> (gender(f)), {C=0.002139869662484194}
(gender(f)) --> (buy(57)), {C=0.002139869662484194}
(buy(58)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(58)), {C=0.0025289368738449568}
(buy(59)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(59)), {C=0.0026262036766851473}
(buy(60)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(60)), {C=0.0023344032681645753}
(buy(61)) --> (gender(f)), {C=0.0034043380994066724}
(gender(f)) --> (buy(61)), {C=0.0034043380994066724}
(buy(62)) --> (gender(f)), {C=0.0034043380994066724}
(gender(f)) --> (buy(62)), {C=0.0034043380994066724}
(buy(63)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(63)), {C=0.0026262036766851473}
(buy(64)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(64)), {C=0.0022371364653243847}
(buy(65)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(65)), {C=0.0025289368738449568}
(buy(66)) --> (gender(f)), {C=0.004085205719288007}
(gender(f)) --> (buy(66)), {C=0.004085205719288007}
(buy(67)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(67)), {C=0.0028207372823655288}
(buy(68)) --> (gender(f)), {C=0.001945336056803813}
(gender(f)) --> (buy(68)), {C=0.001945336056803813}
(buy(69)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(69)), {C=0.0022371364653243847}
(buy(70)) --> (gender(f)), {C=0.0034043380994066724}
(gender(f)) --> (buy(70)), {C=0.0034043380994066724}
(buy(71)) --> (gender(f)), {C=0.002139869662484194}
(gender(f)) --> (buy(71)), {C=0.002139869662484194}
(buy(72)) --> (gender(f)), {C=0.0015562688454430504}
(gender(f)) --> (buy(72)), {C=0.0015562688454430504}
(buy(73)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(73)), {C=0.0028207372823655288}
(buy(74)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(74)), {C=0.0023344032681645753}
(buy(75)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(75)), {C=0.002723470479525338}
(buy(76)) --> (gender(f)), {C=0.0029180040852057193}
(gender(f)) --> (buy(76)), {C=0.0029180040852057193}
(buy(77)) --> (gender(f)), {C=0.0018480692539636222}
(gender(f)) --> (buy(77)), {C=0.0018480692539636222}
(buy(78)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(78)), {C=0.002723470479525338}
(buy(79)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(79)), {C=0.0028207372823655288}
(buy(80)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(80)), {C=0.0022371364653243847}
(buy(81)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(81)), {C=0.0022371364653243847}
(buy(82)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(82)), {C=0.0025289368738449568}
(buy(83)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(83)), {C=0.0028207372823655288}
(buy(84)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(84)), {C=0.0023344032681645753}
(buy(85)) --> (gender(f)), {C=0.0034043380994066724}
(gender(f)) --> (buy(85)), {C=0.0034043380994066724}
(buy(86)) --> (gender(f)), {C=0.003307071296566482}
(gender(f)) --> (buy(86)), {C=0.003307071296566482}
(buy(87)) --> (gender(f)), {C=0.001945336056803813}
(gender(f)) --> (buy(87)), {C=0.001945336056803813}
(buy(88)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(88)), {C=0.0020426028596440037}
(buy(89)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(89)), {C=0.0025289368738449568}
(buy(90)) --> (gender(f)), {C=0.0028207372823655288}
(gender(f)) --> (buy(90)), {C=0.0028207372823655288}
(buy(91)) --> (gender(f)), {C=0.0015562688454430504}
(gender(f)) --> (buy(91)), {C=0.0015562688454430504}
(buy(92)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(92)), {C=0.0020426028596440037}
(buy(93)) --> (gender(f)), {C=0.001945336056803813}
(gender(f)) --> (buy(93)), {C=0.001945336056803813}
(buy(94)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(94)), {C=0.0025289368738449568}
(buy(95)) --> (gender(f)), {C=0.0025289368738449568}
(gender(f)) --> (buy(95)), {C=0.0025289368738449568}
(buy(96)) --> (gender(f)), {C=0.003112537690886101}
(gender(f)) --> (buy(96)), {C=0.003112537690886101}
(buy(97)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(97)), {C=0.0026262036766851473}
(buy(98)) --> (gender(f)), {C=0.0024316700710047662}
(gender(f)) --> (buy(98)), {C=0.0024316700710047662}
(buy(99)) --> (gender(f)), {C=0.0018480692539636222}
(gender(f)) --> (buy(99)), {C=0.0018480692539636222}
(buy(100)) --> (gender(f)), {C=0.0018480692539636222}
(gender(f)) --> (buy(100)), {C=0.0018480692539636222}
(buy(101)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(101)), {C=0.0020426028596440037}
(buy(102)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(102)), {C=0.0022371364653243847}
(buy(103)) --> (gender(f)), {C=0.0015562688454430504}
(gender(f)) --> (buy(103)), {C=0.0015562688454430504}
(buy(104)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(104)), {C=0.0022371364653243847}
(buy(105)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(105)), {C=0.0026262036766851473}
(buy(106)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(106)), {C=0.0020426028596440037}
(buy(107)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(107)), {C=0.002723470479525338}
(buy(108)) --> (gender(f)), {C=0.0024316700710047662}
(gender(f)) --> (buy(108)), {C=0.0024316700710047662}
(buy(109)) --> (gender(f)), {C=0.0023344032681645753}
(gender(f)) --> (buy(109)), {C=0.0023344032681645753}
(buy(110)) --> (gender(f)), {C=0.002723470479525338}
(gender(f)) --> (buy(110)), {C=0.002723470479525338}
(buy(111)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(111)), {C=0.0020426028596440037}
(buy(112)) --> (gender(f)), {C=0.0026262036766851473}
(gender(f)) --> (buy(112)), {C=0.0026262036766851473}
(buy(113)) --> (gender(f)), {C=0.0022371364653243847}
(gender(f)) --> (buy(113)), {C=0.0022371364653243847}
(buy(114)) --> (gender(f)), {C=0.0018480692539636222}
(gender(f)) --> (buy(114)), {C=0.0018480692539636222}
(buy(115)) --> (gender(f)), {C=0.0020426028596440037}
(gender(f)) --> (buy(115)), {C=0.0020426028596440037}
(buy(116)) --> (gender(f)), {C=0.003112537690886101}
(gender(f)) --> (buy(116)), {C=0.003112537690886101}
